,company,company_year_founded,company_review,company_interview_difficulty,company_benefits,company_location,company_industry_Accounting,company_industry_Advertising & Marketing,company_industry_Aerospace & Defense,company_industry_Airlines,company_industry_Animal Production,company_industry_Architectural & Engineering Services,company_industry_Auctions & Galleries,company_industry_Audiovisual,company_industry_Auto Repair & Maintenance,company_industry_Automotive Parts & Accessories Stores,company_industry_Banks & Credit Unions,company_industry_Beauty & Personal Accessories Stores,company_industry_Biotech & Pharmaceuticals,company_industry_Brokerage Services,company_industry_Building & Personnel Services,company_industry_Bus Transportation Services,company_industry_Business Service Centers & Copy Shops,"company_industry_Cable, Internet & Telephone Providers",company_industry_Car Rental,company_industry_Casual Restaurants,company_industry_Catering & Food Service Contractors,company_industry_Chemical Manufacturing,company_industry_Colleges & Universities,company_industry_Commercial Printing,company_industry_Computer Hardware & Software,company_industry_Construction,company_industry_Consulting,company_industry_Consumer Electronics & Appliances Stores,company_industry_Consumer Product Rental,company_industry_Consumer Products Manufacturing,company_industry_Cruise Ships,"company_industry_Department, Clothing, & Shoe Stores",company_industry_Drug & Health Stores,company_industry_Education Training Services,company_industry_Electrical & Electronic Manufacturing,company_industry_Energy,company_industry_Enterprise Software & Network Solutions,company_industry_Express Delivery Services,company_industry_Farm Support Services,company_industry_Fast-Food & Quick-Service Restaurants,company_industry_Federal Agencies,company_industry_Financial Analytics & Research,company_industry_Financial Transaction Processing,company_industry_Food & Beverage Manufacturing,company_industry_Food & Beverage Stores,company_industry_Food Production,company_industry_Gambling,company_industry_Gas Stations,company_industry_General Merchandise & Superstores,company_industry_General Repair & Maintenance,"company_industry_Gift, Novelty & Souvenir Stores",company_industry_Grantmaking Foundations,company_industry_Grocery Stores & Supermarkets,company_industry_Health Care Products Manufacturing,company_industry_Health Care Services & Hospitals,company_industry_Health Fundraising Organizations,"company_industry_Health, Beauty, & Fitness",company_industry_Home Centers & Hardware Stores,company_industry_Home Furniture & Housewares Stores,"company_industry_Hotels, Motels, & Resorts",company_industry_IT Services,company_industry_Industrial Manufacturing,company_industry_Insurance Agencies & Brokerages,company_industry_Insurance Carriers,company_industry_Internet,company_industry_Investment Banking & Asset Management,company_industry_K-12 Education,company_industry_Legal,company_industry_Lending,company_industry_Logistics & Supply Chain,company_industry_Media & Entertainment Retail Stores,company_industry_Membership Organizations,company_industry_Metal & Mineral Manufacturing,company_industry_Metals Brokers,company_industry_Mining,company_industry_Miscellaneous Manufacturing,company_industry_Motion Picture Production & Distribution,company_industry_Municipal Governments,company_industry_Music Production & Distribution,company_industry_News Outlet,company_industry_Office Supply Stores,company_industry_Oil & Gas Exploration & Production,company_industry_Oil & Gas Services,company_industry_Other Retail Stores,company_industry_Passenger Rail,company_industry_Pet & Pet Supplies Stores,company_industry_Photography,company_industry_Preschool & Child Care,company_industry_Publishing,company_industry_Radio,company_industry_Rail,company_industry_Real Estate,company_industry_Research & Development,company_industry_Security Services,company_industry_Self-Storage Services ,company_industry_Shipping,company_industry_Social Assistance,company_industry_Sporting Goods Stores,company_industry_Sports & Recreation,company_industry_Staffing & Outsourcing,company_industry_State & Regional Agencies,company_industry_Stock Exchanges,company_industry_TV Broadcast & Cable Networks,company_industry_Taxi & Limousine Services,company_industry_Telecommunications Manufacturing,company_industry_Telecommunications Services,company_industry_Ticket Sales,company_industry_Transportation Equipment Manufacturing,company_industry_Transportation Management,company_industry_Travel Agencies,company_industry_Trucking,company_industry_Upscale Restaurants,company_industry_Utilities,company_industry_Vehicle Dealers,company_industry_Venture Capital & Private Equity,company_industry_Veterinary Services,company_industry_Video Games,company_industry_Wholesale,company_industry_Wood Product Manufacturing,"Museums, Zoos & Amusement Parks",Talent & Modeling Agencies,Parking Lots & Garages,Truck Rental & Leasing,Commercial Equipment Rental,Performing Arts,Funeral Services,company_revenue_$1 to $2 billion (USD),company_revenue_$1 to $5 million (USD),company_revenue_$10 to $25 million (USD),company_revenue_$10+ billion (USD),company_revenue_$100 to $500 million (USD),company_revenue_$2 to $5 billion (USD),company_revenue_$25 to $50 million (USD),company_revenue_$5 to $10 billion (USD),company_revenue_$5 to $10 million (USD),company_revenue_$50 to $100 million (USD),company_revenue_$500 million to $1 billion (USD),company_revenue_Less than $1 million (USD),company_size_1 to 50 Employees,company_size_10000+ Employees,company_size_1001 to 5000 Employees,company_size_201 to 500 Employees,company_size_5001 to 10000 Employees,company_size_501 to 1000 Employees,company_size_51 to 200 Employees,company_type_College / University,company_type_Company - Private,company_type_Company - Public,company_type_Contract,company_type_Franchise,company_type_Government,company_type_Hospital,company_type_Nonprofit Organization,company_type_Other Organization,company_type_Private Practice / Firm,company_type_School / School District,company_type_Self-employed,company_type_Subsidiary or Business Segment
0,Ascendum Solutions,2006.0,3.3,2.2,2.5,"Blue Ash, OH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,Facebook,2004.0,4.5,3.1,4.7,"Menlo Park, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,Expedia Group,1996.0,3.8,2.9,4.3,"Seattle, WA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,"Quora, Inc.",2009.0,4.1,3.3,4.0,"Mountain View, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,Oracle,1977.0,3.6,2.9,4.0,"Redwood City, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,IBM,1911.0,3.8,2.8,3.6,"Armonk, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,Microsoft,1975.0,4.3,3.1,4.5,"Redmond, WA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,ServiceNow,2004.0,4.1,2.9,4.2,"Santa Clara, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,Amazon,1994.0,3.9,3.0,3.9,"Seattle, WA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,Booz Allen Hamilton,1914.0,4.0,2.7,3.7,"McLean, VA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
